summary_nr,Event Date,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause
220907125,11/19/2016,"SAW,KICK BACK,LACERATION,RESIDENTIAL CONSTRUCTION,NECK,PORTABLE POWER TOOL",M,Pipeline,0, ,0, ,A,New project or new addition,Fatal,7,Laceration,20,Neck,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220958763,5/22/2017,"CAUGHT IN,MOTOR VEHICLE,AIR PRESSURE,TRACTOR TRAILER,STRUCK BY,CRUSHING",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,1,Abdomen,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220955512,5/11/2017,"TONGS,ELEVATED WORK PLATFORM,POWERED INDUSTRIAL VEHICLE,HEAD,CRUSHED,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,13,Head,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220968648,5/11/2017,"TOW TRUCK,AMPUTATION,TRAFFIC ACCIDENT,AMPUTATED,LEG,MOTOR VEHICLE",0, ,0, ,0, ,0, ,Fatal,6,Head Trauma,4,Whole Body,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220954713,5/8/2017,"CAUGHT IN,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,13,Head,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220949366,4/24/2017,"AMPUTATED,CRUSHED,FINGER,CAUGHT BETWEEN,AMPUTATION",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220953533,4/24/2017,"SAW,AMPUTATED,FINGER,AMPUTATION,HAND,BLADE",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220953244,4/24/2017,"SLITTER,AMPUTATION,JAMMED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220950323,4/20/2017,"CAUGHT BETWEEN,JAMMED,AMPUTATION,LOCKOUT/TAGOUT,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220957518,4/20/2017,"CRUSHED,AMPUTATION,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220950224,4/19/2017,"PALLET,CAUGHT BETWEEN,HAND,CRUSHED",0, ,0, ,0, ,0, ,Nonfatal,3,"Bruising, Contusion",12,Hand,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220954523,4/18/2017,"AMPUTATED,CAUGHT BETWEEN,MATERIAL HANDLING,POWERED INDUSTRIAL VEHICLE,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220950935,4/15/2017,"SHOULDER,LOCKOUT/TAGOUT,CRUSHED,AUTOMATIC RESTART,AUTOMATIC MACHINE,ARM",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",21,Shoulder,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220948251,4/14/2017,"CAUGHT IN,LACERATION,MACHINE GUARDING,HAND,FRACTURE,CLEANING",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,12,Hand,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220950679,4/14/2017,"PINNED,PRESS,AMPUTATION,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220947485,4/13/2017,"CAUGHT BETWEEN,AMPUTATION,FINGER,MATERIAL HANDLING",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220957617,4/11/2017,"CAUGHT BETWEEN,FINGER,GUARD,AMPUTATION,MACHINE GUARDING",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220959928,4/11/2017,"STRUCK BY,RUN OVER,LEG,CRUSHED,FOOT,FRACTURE,INDUSTRIAL TRUCK,MOTOR VEHICLE,ABRASION",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",11,Feet,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220950943,4/10/2017,"CRUSHED,FINGER,LOCKOUT,MACHINE GUARDING",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",12,Hand,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220937882,3/2/2017,"PAPER,ARM,JAMMED,CAUGHT BETWEEN,ROLLER--MACH/PART,PINNED,CAUGHT IN,ROLLER CONVEYOR",0, ,0, ,0, ,0, ,Nonfatal,20,Fall/strike,2,Arm,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220946537,4/10/2017,"PINNED,TRACTOR TRAILER,CRUSHED,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Fatal,3,"Bruising, Contusion",16,Left Leg,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220950703,4/10/2017,"CAUGHT IN,CHAIN,AMPUTATION,FINGER,UNGUARDED,SAW",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220948921,4/8/2017,"STRUCK BY,WHEEL,POWERED INDUSTRIAL VEHICLE,FALLING OBJECT,AMPUTATED,TIRE,TOE,TRACTOR",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",11,Feet,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220946545,4/5/2017,"PINNED,CRUSHED,GARBAGE TRUCK,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,4,Whole Body,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220945232,4/4/2017,"CAUGHT IN,AMPUTATION,COMMUNICATION,LOCKOUT/TAGOUT",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220944953,4/3/2017,"SAW,BLADE,AMPUTATION,FINGER",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220944961,4/2/2017,"CAUGHT IN,HOPPER,AMPUTATION,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220943963,3/28/2017,"STEEL BEAM,THUMB,AMPUTATED,FLATBED TRUCK,AMPUTATION,CRANE HOOK",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220947618,3/28/2017,"CLEANING,LOCKOUT/TAGOUT,AMPUTATION,MACHINE GUARDING,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",12,Hand,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220944847,3/27/2017,"CAUGHT IN,CHAIN,FINGER,AMPUTATED,SPROCKET",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220978720,3/26/2017,"AMPUTATED,AMPUTATION,FRACTURE,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220947790,3/25/2017,"TRENCH,CAUGHT BETWEEN,FRACTURE,FINGER,TELECOM WORK",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220964126,3/25/2017,"CAUGHT IN,AMPUTATION,MACHINE GUARDING,ROLLER--MACH/PART,AMPUTATED,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220943666,3/24/2017,"CAUGHT IN,FRACTURE,GEAR,ARM",0, ,0, ,0, ,0, ,Nonfatal,3,"Bruising, Contusion",2,Arm,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220947873,3/24/2017,"CAUGHT IN,CONVEYOR,MACHINE GUARDING,FRACTURE,ARM",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",12,Hand,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220962526,3/24/2017,"CRUSHING,PRESS BRAKE,AMPUTATION,FINGER,AMPUTATED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220956262,3/24/2017,"WALL,CRUSHED,AMPUTATION,FINGER,DUMPSTER,AMPUTATED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220943682,3/24/2017,"CAUGHT IN,NIP POINT,ARM",0, ,0, ,0, ,0, ,Nonfatal,21,Serious Fall/Strike,17,Forearm,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220965966,3/24/2017,"THUMB,CRUSHED,OIL WELL DRILLING/SERVICING,AMPUTATION,AMPUTATED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220947733,3/23/2017,"AMPUTATED,NIP POINT,BRAKE,CRUSHED,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220945208,3/23/2017,"AMPUTATED,CAUGHT BETWEEN,DOOR,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220943054,3/22/2017,"CAUGHT IN,CRUSHED,LOCKOUT/TAGOUT,LACERATION,FINGER,CLEANING,ROTATING PARTS",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220935522,3/21/2017,"PRESS,CAUGHT IN,FINGER,AMPUTATION,JAMMED,MACHINE GUARDING,LOCKOUT/TAGOUT",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220942643,3/21/2017,"CAUGHT IN,AMPUTATION,MACHINE GUARDING,FOOT,RAM,BALER,TOE",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",11,Feet,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220947691,3/20/2017,"CAUGHT IN,AMPUTATED,FAN BLADE,AMPUTATION,LOCKOUT,CLEANING,ROTATING PARTS",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220944326,3/20/2017,"ROLLER--MACH/PART,FINGER,AMPUTATION,POWERED INDUSTRIAL VEHICLE,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220940613,3/16/2017,"THUMB,AMPUTATED,NIP POINT,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220943419,3/16/2017,"CAUGHT IN,FINGER,CONVEYOR BELT,GUARDRAIL,AMPUTATION",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220948723,3/16/2017,"PULLEY,AMPUTATED,FAN BELT,FINGER,AUTOMOTIVE REPAIR",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220944276,3/16/2017,"PULLEY,CAUGHT IN,CONVEYOR BELT,FINGER,AMPUTATED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220948640,3/10/2017,"BLADE,AMPUTATION,MIXER BLADE,MIXER,MACHINE GUARDING,CLEANING,LOCKOUT/TAGOUT",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,12,Hand,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220937817,3/10/2017,"CAUGHT BETWEEN,HOLD-DOWN CLAMP,MECHANICAL POWER PRESS,AMPUTATION,MATERIAL HANDLING,FINGER,CRUSHED,DIE,AIR PRESSURE,DIE CUTTING PRESS",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220970842,3/10/2017,"THUMB,UNGUARDED,LOCKOUT/TAGOUT,AMPUTATION,MACHINE GUARDING,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220938807,3/9/2017,"CAUGHT IN,ROLLER--MACH/PART,MACHINE GUARDING,AMPUTATION,LUMBER,MATERIAL HANDLING,FINGER,ROLLER CONVEYOR,CRUSHING,STRUCK BY",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220940043,3/9/2017,"SAW,THUMB,SAWMILL,WOOD SLAB,CONVEYOR,MATERIAL HANDLING,AMPUTATION,LUMBER,CRUSHED,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220941819,3/9/2017,"PULLEY,REPAIR,BELT,CRUSHED,MACHINE GUARDING,AMPUTATION,NIP POINT,MAINTENANCE,FINGER,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220938245,3/8/2017,"PPE,MEASURING DEVICE,AMPUTATION,MATERIAL HANDLING,STEEL,GLOVE,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220939664,3/8/2017,"PLASTIC MFG,ROTATING PARTS,CAUGHT IN,ARM,FRACTURE,MACHINE GUARDING,LOCKOUT/TAGOUT,ENTANGLED",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",2,Arm,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220940225,3/8/2017,"CAUGHT IN,FINGER,REPAIR,MACHINE GUARDING,MAINTENANCE,AMPUTATION,LUBRICATING",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220939110,3/7/2017,"PLASTIC MFG,MAINTENANCE,INADEQUATE MAINT,MACHINE GUARDING,HAND,FRAC TANK,ROLLER--MACH/PART,SLITTER,CAUGHT IN,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",12,Hand,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220940464,3/7/2017,"CAUGHT BY,FINGER,AMPUTATION",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220938575,3/6/2017,"CAUGHT IN,FINGER,AUGER MECHANISM,GUARD,AMPUTATION",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220937767,3/5/2017,"CAUGHT IN,LOCKOUT/TAGOUT,LACERATION,FINGER",0, ,0, ,0, ,0, ,Nonfatal,9,Dislocation,10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220938757,3/4/2017,"STRUCK BY,AMPUTATION,FINGER,MAINTENANCE,JAMMED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220958961,3/3/2017,"PALLET,CONTROL LEVER,JACK,GUARD,FINGER,CAUGHT BETWEEN,PALLETIZED CARGO,SPEEDING,BACKING UP,AMPUTATED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220942296,3/3/2017,"CAUGHT IN,AIR PRESSURE,LOCKOUT/TAGOUT,AMPUTATION,MACHINE GUARDING,FINGER,CYLINDER,AMPUTATED",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220936124,3/2/2017,"PINNED,CAUGHT IN,THUMB,MATERIAL HANDLING,AMPUTATION,LATHE,FOOT CONTROL,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220939417,3/1/2017,"STRUCK BY,AMPUTATION,MATERIAL HANDLING,FINGER,DRUM,CRUSHED,UNSTABLE SURFACE,AMPUTATED,UNSTABLE LOAD,CAUGHT BETWEEN",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220954374,3/1/2017,"CAUGHT IN,SKIN,STEEL,ROLLER--MACH/PART,THUMB,FINGER,MAINTENANCE,AMPUTATION,HAND,CLEANING",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220908024,11/18/2016,"CRUSHING,GARBAGE TRUCK,TAILGATE,STRUCK BY",0, ,0, ,0, ,0, ,Fatal,18,Puncture,3,Back,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220935712,2/28/2017,"CAUGHT BY,FALL,GARBAGE TRUCK,AMPUTATION,LADDER,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
